data,regiao,produto,valor
01/01/2026,Sudeste,Notebook Ultra,4500.00
01/01/2026,Sudeste,Mouse Gamer,189.90
01/01/2026,Sul,Teclado Mecânico,350.00
02/01/2026,Sudeste,Monitor 4K,3200.00
02/01/2026,Nordeste,Webcam HD,450.00
02/01/2026,Sul,Mouse Gamer,189.90
03/01/2026,Sudeste,Notebook Ultra,4500.00
03/01/2026,Centro-Oeste,Monitor 4K,3200.00
03/01/2026,Nordeste,Teclado Mecânico,350.00
04/01/2026,Sul,Webcam HD,450.00
04/01/2026,Sudeste,Mouse Gamer,199.90
04/01/2026,Norte,Fone Bluetooth,280.00
05/01/2026,Sudeste,Notebook Ultra,4500.00
05/01/2026,Sul,Monitor 4K,3200.00
05/01/2026,Nordeste,Mouse Gamer,189.90
06/01/2026,Sudeste,Teclado Mecânico,350.00
06/01/2026,Centro-Oeste,Webcam HD,450.00
06/01/2026,Sul,Notebook Ultra,4500.00
07/01/2026,Sudeste,Monitor 4K,3200.00
07/01/2026,Nordeste,Mouse Gamer,199.90
07/01/2026,Norte,Teclado Mecânico,350.00
08/01/2026,Sudeste,Webcam HD,450.00
08/01/2026,Sul,Notebook Ultra,4500.00
08/01/2026,Sudeste,Mouse Gamer,189.90
09/01/2026,Sudeste,Monitor 4K,3200.00
09/01/2026,Nordeste,Notebook Ultra,4500.00
09/01/2026,Centro-Oeste,Mouse Gamer,199.90
10/01/2026,Sul,Webcam HD,450.00
10/01/2026,Sudeste,Teclado Mecânico,350.00
10/01/2026,Norte,Monitor 4K,3200.00
11/01/2026,Sudeste,Notebook Ultra,4500.00
11/01/2026,Sul,Mouse Gamer,189.90
11/01/2026,Nordeste,Webcam HD,450.00
12/01/2026,Sudeste,Monitor 4K,3200.00
12/01/2026,Centro-Oeste,Notebook Ultra,4500.00
12/01/2026,Sul,Teclado Mecânico,350.00
13/01/2026,Sudeste,Mouse Gamer,199.90
13/01/2026,Nordeste,Monitor 4K,3200.00
13/01/2026,Norte,Webcam HD,450.00
14/01/2026,Sudeste,Notebook Ultra,4500.00
14/01/2026,Sul,Mouse Gamer,189.90
14/01/2026,Sudeste,Teclado Mecânico,350.00
15/01/2026,Sudeste,Webcam HD,450.00
15/01/2026,Nordeste,Notebook Ultra,4500.00
15/01/2026,Centro-Oeste,Mouse Gamer,199.90
16/01/2026,Sul,Monitor 4K,3200.00
16/01/2026,Sudeste,Notebook Ultra,4500.00
16/01/2026,Norte,Teclado Mecânico,350.00
17/01/2026,Sudeste,Mouse Gamer,189.90
17/01/2026,Nordeste,Webcam HD,450.00
17/01/2026,Sul,Notebook Ultra,4500.00
18/01/2026,Sudeste,Monitor 4K,3200.00
18/01/2026,Centro-Oeste,Teclado Mecânico,350.00
18/01/2026,Sudeste,Mouse Gamer,199.90
19/01/2026,Sul,Webcam HD,450.00
19/01/2026,Nordeste,Notebook Ultra,4500.00
19/01/2026,Norte,Mouse Gamer,189.90
20/01/2026,Sudeste,Teclado Mecânico,350.00
20/01/2026,Sul,Monitor 4K,3200.00
20/01/2026,Sudeste,Notebook Ultra,4500.00
